"Family"	"Species_abbrv"	"SpeciesForPhylogeny"	"Brain_volume_mm3_decasien"	"Hippocampus_volume_mm3_decasien"	"Neocortex_volume_mm3_decasien"	"Cerebellum_volume_mm3_decasien"	"Striatum_volume_mm3_decasien"	"MOB_volume_mm3_decasien"	"Optic.Tract_volume_mm3_decasien"	"Brain_volume_mm3_powell_mosaic"	"Neocortex_volume_mm3_powell_mosaic"	"Cerebellum_volume_mm3_powell_mosaic"	"Brain_volume_mm3_todorov"	"Hippocampus_volume_mm3_todorov"	"Neocortex_volume_mm3_todorov"	"Brain_volume_mm3_navarrete"	"Hippocampus_volume_mm3_navarrete"	"Neocortex_volume_mm3_navarrete"	"Cerebellum_volume_mm3_navarrete"	"Striatum_volume_mm3_navarrete"	"Brain_volume_mm3_grueter"	"Brain_volume_mm3_powell"	"Body_mass_g_pearce"	"Body_mass_g_powell"	"Body_mass_g_grueter"	"Body_mass_g_decasien"	"Dietbreadth_powell2"	"Diet_frug_powell"	"Diet_leaves_powell"	"Diet_youngleaves_powell"	"Diet_matureleaves_powell"	"Diet_frug_decasien"	"Diet_leaves_willems"	"geographicCode"	"Guild_init_decasien"	"DietaryGuild"	"FrugivoryPercent"	"FolivoryPercent"	"Brain"	"Neocortex"	"Cerebellum"	"Hippocampus"	"Striatum"	"MOB"	"Optic.Tract"	"Bodymass"
NA	"Callithrix_arge"	"Callithrix_argentata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7950	NA	NA	NA	345	361	4	NA	NA	NA	NA	NA	0	NA	"Om"	"Fruit"	NA	0	7950	NA	NA	NA	NA	NA	NA	345
NA	"Callithrix_auri"	"Callithrix_aurita"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8430	386.2	NA	NA	NA	3	11	0	NA	NA	NA	0	"000000010000"	NA	"Other"	11	0	8430	NA	NA	NA	NA	NA	NA	386.2
NA	"Callithrix_chry"	"Callithrix_chry"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_emil"	"Callithrix_emiliae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_flav"	"Callithrix_flav"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	372.97	NA	NA	NA	3	9.65	0	NA	NA	NA	NA	NA	NA	"Other"	9.65	0	NA	NA	NA	NA	NA	NA	NA	372.97
NA	"Callithrix_geof"	"Callithrix_geoffroyi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7098.63	166.26	4057.73	713.35	282.56	NA	9780	NA	338	NA	342	NA	15	0	NA	NA	NA	0	"000000010000"	"Om"	"Fruit"	15	0	9780	4057.73	713.35	166.26	282.56	NA	NA	342
NA	"Callithrix_hume"	"Callithrix_humeralifera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	0	NA	NA	"Other"	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_humi"	"Callithrix_humi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_inte"	"Callithrix_inte"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	345.2241667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	345.2241667
NA	"Callithrix_jacc"	"Callithrix_jacchus"	7278.44333333333	221	4371	757	372	22.8	NA	7244	4375.2	756.8	7241	221.12	4371	8124.76	203.19	4541.98	686.23	334.26	7240	7490	290.21	320	320	273	5	20.6	0	0	0	22	0	"000000010000"	"Fruit"	"Fruit"	22	0	7240	4375.2	756.8	203.19	372	22.8	NA	273
NA	"Callithrix_kuhl"	"Callithrix_kuhli"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7970	374.99	373.3	NA	NA	4	56.225	NA	NA	NA	NA	0	"000000010000"	NA	"Fruit"	56.225	0	7970	NA	NA	NA	NA	NA	NA	374.99
NA	"Callithrix_leuc"	"Callithrix_leuc"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_mani"	"Callithrix_mani"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_marc"	"Callithrix_marc"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_maue"	"Callithrix_mauesi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_mela"	"Callithrix_mela"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_nigr"	"Callithrix_nigr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callithrix_peni"	"Callithrix_penicillata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6335.88	160.39	3264.95	727	252.38	7320	7170	NA	299.1	328	323	NA	24.5	0	NA	NA	NA	0	"000000010000"	"Om"	"Fruit"	24.5	0	7320	3264.95	727	160.39	252.38	NA	NA	299.1
NA	"Callithrix_pygm"	"Callithrix_pygmaea"	4157.3825	133	2535	468	174	12.3	23.8	4305	2535.1	467.7	4302	122.34	2535	4308.33	81.48	2241.11	478.12	160.59	4170	NA	123.94	NA	116	126	3	NA	NA	NA	NA	0	0	NA	"Om"	"Fruit"	0	0	4308.33	2535	478.12	122.34	160.59	12.3	NA	126
NA	"Callithrix_sate"	"Callithrix_sate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cebuella_pygm"	"Cebuella_pygm"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4190	NA	116	NA	NA	NA	1	0	0	0	NA	NA	NA	NA	"Other"	1	0	4190	NA	NA	NA	NA	NA	NA	116
NA	"Cebus_albi"	"Cebus_albifrons"	69921.7225	890	46429	7871	3258	39.9	207	66988	49431.1	7620.8	66939	890.4	46429	NA	NA	NA	NA	NA	65450	66000	2509.68	2013	2735	2536	5	NA	0	NA	NA	24.6	1.4	"000000100000"	"Om"	"Fruit"	24.6	0	66000	46429	7620.8	890.4	3258	39.9	NA	2536
NA	"Cebus_apel"	"Cebus_apella"	66460	NA	45000	6460	NA	NA	NA	66475	44978	6501.3	NA	NA	NA	74229.03	548.09	37879.4	5931.26	2802.43	66630	64140	2758.38	2539	2936	2669	6	46.3	16	1.1	NA	36	31.6	NA	"Om"	"Fruit"	46.3	16	66630	45000	6501.3	548.09	2802.43	NA	NA	2539
NA	"Cebus_capu"	"Cebus_capucinus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72930	69220	NA	2437	2861	2798	4	65	15	NA	NA	67.5	0.5	"000000100000"	"Om"	"Fruit"	67.5	15	69220	NA	NA	NA	NA	NA	NA	2861
NA	"Cebus_kaap"	"Cebus_kaap"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cebus_libi"	"Cebus_libi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63650	NA	2117	NA	NA	NA	47	4	NA	NA	NA	NA	NA	NA	"Fruit"	47	4	63650	NA	NA	NA	NA	NA	NA	2117
NA	"Cebus_nigr"	"Cebus_nigr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65030	2812.338	2232	NA	NA	4	31.135	28.035	NA	NA	NA	NA	NA	NA	"Fruit"	31.135	28.035	65030	NA	NA	NA	NA	NA	NA	2812.338
NA	"Cebus_oliv"	"Cebus_olivaceus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69840	70090	2787.64	2202	2931	2647	4	42	6	NA	NA	46.7	6	"000000100000"	"Om"	"Fruit"	42	6	70090	NA	NA	NA	NA	NA	NA	2647
NA	"Cebus_xant"	"Cebus_xanthosternos"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64000	NA	2167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	64000	NA	NA	NA	NA	NA	NA	2167
NA	"Cercocebus_agil"	"Cercocebus_agilis"	91988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100970	NA	NA	NA	7553	NA	NA	NA	NA	NA	NA	NA	"000100000000"	"Fruit"	"Fruit"	NA	NA	100970	NA	NA	NA	NA	NA	NA	7553
NA	"Cercocebus_albi"	"Cercocebus_albi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercocebus_atys"	"Cercocebus_atys"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86800	NA	6200	NA	NA	NA	68.4	24	NA	NA	NA	NA	NA	NA	"Fruit"	68.4	24	86800	NA	NA	NA	NA	NA	NA	6200
NA	"Cercocebus_chry"	"Cercocebus_chry"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercocebus_gale"	"Cercocebus_galeritus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99070	95340	NA	3700	7435	7838	2	44	9.2	2	NA	80.1	2.0833333	"000010000000"	"Fruit"	"Fruit"	44	2.0833333	95340	NA	NA	NA	NA	NA	NA	7838
NA	"Cercocebus_sanj"	"Cercocebus_sanj"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercocebus_torq"	"Cercocebus_torquatus"	101896.666666667	NA	76090	8760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93480	NA	5658	NA	7771	1	60	NA	NA	NA	79	NA	"001100000000"	"Fruit"	"Fruit"	79	NA	101896.666666667	76090	8760	NA	NA	NA	NA	7771
NA	"Cercopithecus_aeth"	"Cercopithecus_aeth"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_albo"	"Cercopithecus_albogularis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4049.440556	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4049.440556
NA	"Cercopithecus_asca"	"Cercopithecus_ascanius"	62925.0933333333	1189	45166	5828	2827	99.5	320	63767	42756.3	5649.4	63505	1189	45166	NA	NA	NA	NA	NA	59580	56680	NA	2901	3714	4157	4	40.2	25.6	25	0.6	60.8	7.2	"000100000000"	"Fruit"	"Fruit"	60.8	25.6	59580	42756.3	5828	1189	2827	99.5	NA	3714
NA	"Cercopithecus_camp"	"Cercopithecus_campbelli"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57390	54060	NA	2365	3600	3776	3	62	4.5	NA	NA	78	8	"001000000000"	"Fruit"	"Fruit"	78	4.5	57390	NA	NA	NA	NA	NA	NA	3600
NA	"Cercopithecus_ceph"	"Cercopithecus_cephus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65260	60580	3444.88	2880	3585	3517	3	63.8	10.8	NA	NA	79	15.5	"000100000000"	"Fruit"	"Fruit"	79	15.5	65260	NA	NA	NA	NA	NA	NA	3517
NA	"Cercopithecus_dent"	"Cercopithecus_dent"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_dian"	"Cercopithecus_diana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62610	57290	4358.91	3900	4550	4520	3	42.9	8.7	NA	NA	52	16	"001000000000"	"Fruit"	"Fruit"	52	8.7	62610	NA	NA	NA	NA	NA	NA	4358.91
NA	"Cercopithecus_dogg"	"Cercopithecus_dogg"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_drya"	"Cercopithecus_drya"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_eryt"	"Cercopithecus_erythrogaster"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2900	NA	NA	2	NA	NA	NA	NA	NA	NA	"001000000000"	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2900
NA	"Cercopithecus_haml"	"Cercopithecus_hamlyni"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70315.19	1069.19	35766.25	6783.83	2196.63	NA	61870	NA	NA	NA	NA	NA	11.34	19.035	NA	NA	NA	NA	"000100000000"	NA	"Other"	11.34	19.035	61870	35766.25	6783.83	1069.19	2196.63	NA	NA	NA
NA	"Cercopithecus_kand"	"Cercopithecus_kand"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_lhoe"	"Cercopithecus_lhoesti"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66130	NA	3450	NA	5004	3	27.9	35	8	NA	NA	NA	NA	"Fruit"	"Fruit"	27.9	35	66130	NA	NA	NA	NA	NA	NA	3450
NA	"Cercopithecus_lowe"	"Cercopithecus_lowe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_miti"	"Cercopithecus_mitis"	70744.585	1366	49933	6758	2733	117	NA	70632	45919.8	6053.4	70564	1366.39	49933	66443.85	782.98	34895.38	5433.24	2277.88	71330	65620	5041.29	3930	6109	6335	4	50	17.8	10	7.8	54.5	21.8	"000010000000"	"Fruit"	"Fruit"	50	21.8	65620	49933	5433.24	782.98	2277.88	117	NA	6335
NA	"Cercopithecus_mona"	"Cercopithecus_mona"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56500	NA	3200	NA	4467	NA	41.7	13.6	NA	NA	NA	NA	"001000000000"	"Fruit"	"Fruit"	41.7	13.6	56500	NA	NA	NA	NA	NA	NA	4467
NA	"Cercopithecus_negl"	"Cercopithecus_neglectus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65970	60900	5324.52	3550	5450	5590	3	50.8	20.6	19.5	12.6	77	20.55	"000100000000"	"Fruit"	"Fruit"	50.8	20.55	65970	NA	NA	NA	NA	NA	NA	3550
NA	"Cercopithecus_nict"	"Cercopithecus_nictitans"	64740	NA	47800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73183.47	806.42	37132.31	7283.92	2124.61	71130	67830	NA	4260	5465	5178	4	52.4	15.1	NA	0.1	67.1	10	"000100000000"	"Fruit"	"Fruit"	67.1	15.1	73183.47	47800	7283.92	806.42	2124.61	NA	NA	5178
NA	"Cercopithecus_peta"	"Cercopithecus_petaurista"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55080	52750	NA	2918	3609	NA	NA	55.6	22.8	NA	NA	NA	40	"001000000000"	NA	"Fruit"	55.6	22.8	52750	NA	NA	NA	NA	NA	NA	2918
NA	"Cercopithecus_pogo"	"Cercopithecus_pogonias"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57590	NA	2940	NA	3588	3	49.8	12.7	NA	NA	82.9	NA	"000100000000"	"Fruit"	"Fruit"	49.8	12.7	57590	NA	NA	NA	NA	NA	NA	3588
NA	"Cercopithecus_preu"	"Cercopithecus_preussi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62800	NA	NA	NA	NA	4	51.9	41.9	1.6	NA	NA	NA	NA	NA	"Fruit"	51.9	41.9	62800	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_rolo"	"Cercopithecus_rolo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_scla"	"Cercopithecus_scla"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_sola"	"Cercopithecus_solatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cercopithecus_wolf"	"Cercopithecus_wolfi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"000100000000"	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cheirogaleus_adip"	"Cheirogaleus_adip"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cheirogaleus_cros"	"Cheirogaleus_crossleyi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"100000000000"	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cheirogaleus_majo"	"Cheirogaleus_major"	6441.16666666667	347	2938	947	327	158	18	6365	2937.7	946.2	6373	347.35	2938	NA	NA	NA	NA	NA	NA	5650	446.02	400	NA	430	5	NA	NA	NA	NA	NA	NA	"100000000000"	"Om"	"Fruit"	NA	NA	6441.16666666667	2938	946.2	347.35	327	158	NA	430
NA	"Cheirogaleus_medi"	"Cheirogaleus_medius"	2893.415	174	1120.5	437	145	102	NA	2960	1221.8	436.5	2961	174.36	1221	NA	NA	NA	NA	NA	NA	2540	196.76	139.5	NA	189	5	67.5	5	5	NA	NA	NA	"010000000000"	"Om"	"Fruit"	67.5	5	2961	1221	436.5	174.36	145	102	NA	196.76
NA	"Cheirogaleus_minu"	"Cheirogaleus_minu"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cheirogaleus_ravu"	"Cheirogaleus_ravu"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cheirogaleus_sibr"	"Cheirogaleus_sibr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Chiropotes_albi"	"Chiropotes_albi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57640	NA	2846.5	NA	NA	3	46.6	0.5	NA	NA	NA	NA	NA	NA	"Fruit"	46.6	0.5	57640	NA	NA	NA	NA	NA	NA	2846.5
NA	"Chiropotes_chir"	"Chiropotes_chir"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54870	NA	2563.4	NA	NA	NA	21.125	0.475	NA	NA	NA	NA	NA	NA	"Fruit"	21.125	0.475	54870	NA	NA	NA	NA	NA	NA	2563.4
NA	"Chiropotes_isra"	"Chiropotes_isra"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Chiropotes_sata"	"Chiropotes_satanas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49410	NA	3030	NA	2955	3	25.53333333	1.45	1.45	0	16.2	NA	"000000010000"	"Fruit"	"Fruit"	16.2	1.45	49410	NA	NA	NA	NA	NA	NA	3030
NA	"Chiropotes_utah"	"Chiropotes_utah"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.35	1.6	1.6	0	NA	NA	NA	NA	"Fruit"	24.35	1.6	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Chlorocebus_aeth"	"Chlorocebus_aethiops"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58250	NA	3575.8	NA	4214	NA	NA	NA	NA	NA	NA	NA	"000010000000"	"Fruit"	"Fruit"	NA	NA	58250	NA	NA	NA	NA	NA	NA	4214
NA	"Chlorocebus_cyno"	"Chlorocebus_cyno"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Chlorocebus_djam"	"Chlorocebus_djam"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3000	NA	NA	NA	NA	9.6	81.3	80.2	1.1	NA	81.3	NA	NA	"Leaf"	9.6	81.3	NA	NA	NA	NA	NA	NA	NA	3000
NA	"Chlorocebus_pyge"	"Chlorocebus_pygerythrus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62580	59920	3627.995	3575.8	4324	4060	NA	9	9.5	NA	NA	NA	17.2	"000010000000"	"Fruit"	"Fruit"	9	17.2	62580	NA	NA	NA	NA	NA	NA	4060
NA	"Chlorocebus_saba"	"Chlorocebus_sabaeus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64910	58660	3695.99	3700	4312	NA	NA	26.6	37	37	0	NA	37	"001000000000"	NA	"Fruit"	26.6	37	58660	NA	NA	NA	NA	NA	NA	3700
